NAME,WDPA_ID,WDPA_PID,STATUS,STATUS ID,country,region,COUNTRYID,AnyApe,Napes,PT,GG,GB,Ppa,PP,PA,GREATAPEID,scholar_5.13,area,status_yr,age,Query
Owabi,5154,,Wildlife Sanctuary,2,GHA,Africa,10,0,0,0,0,0,0,0,0,2,32,13,1971,42,"""Owabi Wildlife Sanctuary"""
Badiar,29069,,National Park,1,GIN,Africa,12,1,1,1,0,0,0,0,0,8,25,382,1985,28,"""Badiar National Park"""
Haut Niger,900717,,National Park,1,GIN,Africa,12,1,1,1,0,0,0,0,0,8,75,6470,2002,11,"""Haut Niger National Park"""
Kamalaya (Kounounkan),#N/A,,Strict Nature Reserv,2,GIN,Africa,12,1,1,1,0,0,0,0,0,8,0,NA,NA,NA,"""Kamalaya (Kounounkan) Strict Nature Reserve"""
Mount Nimba,1295,,Strict Nature Reserv,2,GIN,Africa,12,1,1,1,0,0,0,0,0,8,56,130,1944,69,"""Mount Nimba Strict Nature Reserve"""
Alkatraz,#N/A,,Wildlife Reserve,2,GIN,Africa,12,1,1,1,0,0,0,0,0,8,0,NA,NA,NA,"""Alkatraz Wildlife Reserve"""
Blanche,#N/A,,Wildlife Reserve,2,GIN,Africa,12,1,1,1,0,0,0,0,0,8,0,NA,NA,NA,"""Blanche Wildlife Reserve"""
Cabri,#N/A,,Wildlife Reserve,2,GIN,Africa,12,1,1,1,0,0,0,0,0,8,0,NA,NA,NA,"""Cabri Wildlife Reserve"""
Corail,#N/A,,Wildlife Reserve,2,GIN,Africa,12,1,1,1,0,0,0,0,0,8,0,NA,NA,NA,"""Corail Wildlife Reserve"""
Bo_,#N/A,,Hunting Reserve,2,GNB,Africa,11,1,1,1,0,0,0,0,0,8,0,1315,NA,NA,"""Boe Hunting Reserve"""
Cantanhez Forest,33049,,Hunting Reserve,2,GNB,Africa,11,1,1,1,0,0,0,0,0,8,1,680,1980,33,"""Cantanhez Forest Hunting Reserve"""
Ilha de Cofara,#N/A,,Hunting Reserve,2,GNB,Africa,11,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Ilha de Cofara Hunting Reserve"""
Rio Geba/Rio Mansoa,11612,,Hunting Reserve,2,GNB,Africa,11,0,0,0,0,0,0,0,0,2,0,NA,1980,33,"""Rio Geba/Rio Mansoa Hunting Reserve"""
Joao Vieira - Poilao,#N/A,,Marine National Park,2,GNB,Africa,11,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,"""Joao Vieira - Poilao Marine National Park"""
Dulombi,33050,,National Park,1,GNB,Africa,11,1,1,1,0,0,0,0,0,8,2,1770,1991,22,"""Dulombi National Park"""
Ilhas de Orango,#N/A,,National Park,1,GNB,Africa,11,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,"""Ilhas de Orango National Park"""
Rio Grande de Buba,317051,,Protected Area,2,GNB,Africa,11,0,0,0,0,0,0,0,0,2,0,1108,NA,NA,"""Rio Grande de Buba Protected Area"""
Parc Naturel des Mangroves de,#N/A,,#NULL!,2,GNB,Africa,11,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,"""Parc Naturel des Mangroves de"""
Berbak,#N/A,,National Park,1,IDN,Asia,13,0,0,0,0,0,0,0,0,2,157,NA,NA,NA,"""Berbak National Park"""
Betung Kerihun,8673,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,1,0,6,97,8000,1992,21,"""Betung Kerihun National Park"""
Bukit Baka - Bukit Raya,62496,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,1,0,6,52,1811,1992,21,"""Bukit Baka - Bukit Raya National Park"""
Bukit Barisan Selatan,317208,,National Park,1,IDN,Asia,13,0,0,0,0,0,0,0,0,2,295,516,NA,NA,"""Bukit Barisan Selatan National Park"""
Danau Sentarum,95338,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,1,0,6,150,800,1994,19,"""Danau Sentarum National Park"""
Gunung Leuser,1251,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,0,1,5,825,7927,1980,33,"""Gunung Leuser National Park"""
Gunung Palung,#N/A,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,1,0,6,484,900,NA,NA,"""Gunung Palung National Park"""
Kayan Mentarang,145513,,National Park,1,IDN,Asia,13,0,0,0,0,0,0,0,0,2,315,13605,1996,17,"""Kayan Mentarang National Park"""
Kerinci Seblat,4994,,National Park,1,IDN,Asia,13,0,0,0,0,0,0,0,0,2,720,13750,1999,14,"""Kerinci Seblat National Park"""
Kutai,#N/A,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,1,0,6,399,456,1982,31,"""Kutai National Park"""
Sebangau,317262,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,1,0,6,72,5687,2004,9,"""Sebangau National Park"""
Tanjung Puting,#N/A,,National Park,1,IDN,Asia,13,1,1,0,0,0,0,1,0,6,377,4150,NA,NA,"""Tanjung Puting National Park"""
Way Kambas,#N/A,,National Park,1,IDN,Asia,13,0,0,0,0,0,0,0,0,2,272,1300,NA,NA,"""Way Kambas National Park"""
Aceh Rafflesia I/II Serbojadi,10316,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,3,1936,77,"""Aceh Rafflesia I/II Serbojadi Nature Reserve"""
Bentayan,8978,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,193,1981,32,"""Bentayan Nature Reserve"""
Bukit Tangkiling,1915,,Nature Reserve,2,IDN,Asia,13,1,1,0,0,0,0,1,0,6,1,5,1978,35,"""Bukit Tangkiling Nature Reserve"""
Dangku,8980,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,291,1981,32,"""Dangku Nature Reserve"""
Dolok Sipirok,10312,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,1,70,1982,31,"""Dolok Sipirok Nature Reserve"""
Gunung Niut,#N/A,,Nature Reserve,2,IDN,Asia,13,1,1,0,0,0,0,1,0,6,1,1800,1982,31,"""Gunung Niut Nature Reserve"""
Gunung Raya Pasi,1913,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,4,37,1978,35,"""Gunung Raya Pasi Nature Reserve"""
Hutan Pinus/Janthoi,20931,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,80,1984,29,"""Hutan Pinus/Janthoi Nature Reserve"""
Isau-Isau Pasemah,1925,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,2,121,1978,35,"""Isau-Isau Pasemah Nature Reserve"""
Karang Gading,#N/A,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Karang Gading Nature Reserve"""
Kerumutan,1259,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,5,1200,1979,34,"""Kerumutan Nature Reserve"""
Mandor,1911,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,12,20,1937,76,"""Mandor Nature Reserve"""
Muara Kaman Sedulang,1917,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,1,625,1976,37,"""Muara Kaman Sedulang Nature Reserve"""
Padang Sugihan,10320,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,4,750,1983,30,"""Padang Sugihan Nature Reserve"""
Pararawen,#N/A,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,62,1979,34,"""Pararawen Nature Reserve"""
Pleihari Martapura,#N/A,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,"""Pleihari Martapura Nature Reserve"""
Pleihari Tanah Laut,#N/A,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Pleihari Tanah Laut Nature Reserve"""
Teluk Kelumpang/Selat Laut/Sel,#N/A,,Nature Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Teluk Kelumpang/Selat Laut/Sel Nature Reserve"""
Dolok Surungan,1923,,Wildlife Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,238,1974,39,"""Dolok Surungan Wildlife Reserve"""
Gumai Pasemah,1924,,Wildlife Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,1,458,1976,37,"""Gumai Pasemah Wildlife Reserve"""
Gunung Raya,1926,,Wildlife Reserve,2,IDN,Asia,13,0,0,0,0,0,0,0,0,2,0,395,1978,35,"""Gunung Raya Wildlife Reserve"""
Belle,36025,,National Forest,2,LBR,Africa,14,0,0,0,0,0,0,0,0,2,1,656,1978,35,"""Belle National Forest"""
East Nimba,9176,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,3,96,1960,53,"""East Nimba National Forest"""
Gibi,20176,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,0,607,1960,53,"""Gibi National Forest"""
Gio,9175,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,2,328,1960,53,"""Gio National Forest"""
Gola,9171,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,49,2020,1960,53,"""Gola National Forest"""
Grebo,9170,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,44,2603,1960,53,"""Grebo National Forest"""
Kpelle,9172,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,12,1748,1961,52,"""Kpelle National Forest"""
Krahn Bassa,9169,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,14,5140,1960,53,"""Krahn Bassa National Forest"""
Lorma,28382,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,22,435,1960,53,"""Lorma National Forest"""
North Gio,36024,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,0,132,1960,53,"""North Gio National Forest"""
North Lorma,9173,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,22,712,1959,54,"""North Lorma National Forest"""
West Nimba,20175,,National Forest,2,LBR,Africa,14,1,1,1,0,0,0,0,0,8,2,91,1961,52,"""West Nimba National Forest"""
Yomo,36023,,National Forest,2,LBR,Africa,14,0,0,0,0,0,0,0,0,2,0,26,1959,54,"""Yomo National Forest"""
Cestos-Sankwen,#N/A,,National Park,1,LBR,Africa,14,0,0,0,0,0,0,0,0,2,0,1450,1979,34,"""Cestos-Sankwen National Park"""
Lofa-Mano,36027,,National Park,1,LBR,Africa,14,0,0,0,0,0,0,0,0,2,2,2300,1979,34,"""Lofa-Mano National Park"""
Sapo,7409,,National Park,1,LBR,Africa,14,1,1,1,0,0,0,0,0,8,212,1292,1983,30,"""Sapo National Park"""
Tienpo,36028,,National Park,1,LBR,Africa,14,0,0,0,0,0,0,0,0,2,0,193,1979,34,"""Tienpo National Park"""
Cape Mount,#N/A,,Nature Conservation,2,LBR,Africa,14,0,0,0,0,0,0,0,0,2,0,554,1977,36,"""Cape Mount Nature Conservation"""
Danum Valley,10279,,Conservation Area,2,MYS,Asia,15,1,1,0,0,0,0,1,0,6,402,427,1980,33,"""Danum Valley Conservation Area"""
Maliau Basin,8810,,Conservation Area,2,MYS,Asia,15,1,1,0,0,0,0,1,0,6,81,630,1983,30,"""Maliau Basin Conservation Area"""
Bako,#N/A,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,522,35,1957,56,"""Bako National Park"""
Batang Ai,12250,,National Park,1,MYS,Asia,15,1,1,0,0,0,0,1,0,6,118,252,1991,22,"""Batang Ai National Park"""
Bukit Tawau,#N/A,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Bukit Tawau National Park"""
Crocker Range,97991,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,171,33,1984,29,"""Crocker Range National Park"""
Gunung Gading,#N/A,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,41,44,1983,30,"""Gunung Gading National Park"""
Gunung Mulu,#N/A,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,1270,754,NA,NA,"""Gunung Mulu National Park"""
Kinabalu,785,,National Park,1,MYS,Asia,15,1,1,0,0,0,0,1,0,6,547,754,1964,49,"""Kinabalu National Park"""
Kubah,9815,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,92,27,1989,24,"""Kubah National Park"""
Lambir Hills,4056,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,573,83,1975,38,"""Lambir Hills National Park"""
Loagan Bunut,9816,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,65,107,1991,22,"""Loagan Bunut National Park"""
Niah,791,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,137,36,1974,39,"""Niah National Park"""
Similajau,3972,,National Park,1,MYS,Asia,15,0,0,0,0,0,0,0,0,2,68,90,1976,37,"""Similajau National Park"""
Kulamba,#N/A,,Wildlife Reserve,2,MYS,Asia,15,1,1,0,0,0,0,1,0,6,27,204,1984,29,"""Kulamba Wildlife Reserve"""
Tabin,9826,,Wildlife Reserve,2,MYS,Asia,15,1,1,0,0,0,0,1,0,6,226,1106,1984,29,"""Tabin Wildlife Reserve"""
Kinabatangan,#N/A,,Wildlife Sanctuary,2,MYS,Asia,15,1,1,0,0,0,0,1,0,6,109,NA,NA,NA,"""Kinabatangan Wildlife Sanctuary"""
Lanjak-Entimau,1300,,Wildlife Sanctuary,2,MYS,Asia,15,1,1,0,0,0,0,1,0,6,128,1527,1983,30,"""Lanjak-Entimau Wildlife Sanctuary"""
Samunsam,#N/A,,Wildlife Sanctuary,2,MYS,Asia,15,0,0,0,0,0,0,0,0,2,52,61,1979,34,"""Samunsam Wildlife Sanctuary"""
Ansongo M_naka,#N/A,,Animal Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,17500,1950,63,"""Ansongo Menaka Animal Reserve"""
Sounsan,3213,,Forest Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,376,1954,59,"""Sounsan Forest Reserve"""
Baoul_,#N/A,,National Park,1,MLI,Africa,16,0,0,0,0,0,0,0,0,2,27,1878,1954,59,"""Baoule National Park"""
Kouroufing,317195,,National Park,1,MLI,Africa,16,0,0,0,0,0,0,0,0,2,2,558,2002,11,"""Kouroufing National Park"""
Wongo,317193,,National Park,1,MLI,Africa,16,1,1,1,0,0,0,0,0,8,0,535,2002,11,"""Wongo National Park"""
Bafing Chimpanzee,#N/A,,Sanctuary,2,MLI,Africa,16,1,1,1,0,0,0,0,0,8,1,672,2002,11,"""Bafing Chimpanzee Sanctuary"""
Badinko,2322,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,1378,1951,62,"""Badinko Wildlife Reserve"""
Bafing Makana,#N/A,,Wildlife Reserve,2,MLI,Africa,16,1,1,1,0,0,0,0,0,8,0,1590,NA,NA,"""Bafing Makana Wildlife Reserve"""
Banifing Baoul_,#N/A,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Banifing Baoule Wildlife Reserve"""
Fina,2329,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,1087,1954,59,"""Fina Wildlife Reserve"""
K_ni_baoul_,#N/A,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,675,1954,59,"""K_ni_baoul_ Wildlife Reserve"""
Kongossambougou,2324,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,769,1955,58,"""Kongossambougou Wildlife Reserve"""
NienendouGou,#N/A,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""NienendouGou Wildlife Reserve"""
Siankadougou,#N/A,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Siankadougou Wildlife Reserve"""
Talikourou,#N/A,,Wildlife Reserve,2,MLI,Africa,16,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Talikourou Wildlife Reserve"""
Afi River,36919,,Forest Reserve,2,NGA,Africa,17,1,1,1,0,0,0,0,0,8,51,NA,NA,NA,"""Afi River Forest Reserve"""
Edumanon,#N/A,,Forest Reserve,2,NGA,Africa,17,1,1,1,0,0,0,0,0,8,1,66,1975,38,"""Edumanon Forest Reserve"""
Ngel-Nyaki,#N/A,,Forest Reserve,2,NGA,Africa,17,1,1,1,0,0,0,0,0,8,42,NA,NA,NA,"""Ngel-Nyaki Forest Reserve"""
Omo,2280,,Forest Reserve,2,NGA,Africa,17,1,1,1,0,0,0,0,0,8,267,NA,NA,NA,"""Omo Forest Reserve"""
Ribako,36537,,Forest Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Ribako Forest Reserve"""
Akpaka,36962,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,194,NA,NA,"""Akpaka Game Reserve"""
Alawa,7864,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,3,296,1971,42,"""Alawa Game Reserve"""
Anambra,7845,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,4,354,NA,NA,"""Anambra Game Reserve"""
Ankwe River,#N/A,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Ankwe River Game Reserve"""
Bakono,7858,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,1900,1972,41,"""Bakono Game Reserve"""
Baturiya Wetlands,7872,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,297,1976,37,"""Baturiya Wetlands Game Reserve"""
Dagida,7863,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,294,1971,42,"""Dagida Game Reserve"""
Ebbe/Kampe,7834,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,117,NA,NA,"""Ebbe/Kampe Game Reserve"""
Falgore (Kogin Kano),7875,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,920,1969,44,"""Falgore (Kogin Kano) Game Reserve"""
Gilli-Gilli,7844,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,4,363,1960,53,"""Gilli-Gilli Game Reserve"""
Ibi,7852,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,4,1580,1972,41,"""Ibi Game Reserve"""
Ifon,7463,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,12,283,1990,23,"""Ifon Game Reserve"""
Iri-Ada-Obi,7841,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Iri-Ada-Obi Game Reserve"""
Kambari,11596,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,2,414,1969,44,"""Kambari Game Reserve"""
Kashimbila,11597,,Game Reserve,2,NGA,Africa,17,1,1,1,0,0,0,0,0,8,1,1396,1977,36,"""Kashimbila Game Reserve"""
Kuyambana,5156,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,2614,1971,42,"""Kuyambana Game Reserve"""
Kwale,11594,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,3,3,1960,53,"""Kwale Game Reserve"""
Lame-Burra,7860,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,17,2058,1972,41,"""Lame-Burra Game Reserve"""
Margadu-Kabak Wetlands,11604,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,100,NA,NA,"""Margadu-Kabak Wetlands Game Reserve"""
Meko,11599,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,966,NA,NA,"""Meko Game Reserve"""
Nguru/Adiani Wetlands,11605,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,75,NA,NA,"""Nguru/Adiani Wetlands Game Reserve"""
Num River,#N/A,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,97,NA,NA,"""Num River Game Reserve"""
Ohosu,7838,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,471,NA,NA,"""Ohosu Game Reserve"""
Okeleuse,#N/A,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Okeleuse Game Reserve"""
Okomu,7465,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,2,181,NA,NA,"""Okomu Game Reserve"""
Ologbo,7840,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,6,194,1981,32,"""Ologbo Game Reserve"""
Opanda,11603,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,105,NA,NA,"""Opanda Game Reserve"""
Opara,5177,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,6,2486,1973,40,"""Opara Game Reserve"""
Orle River,7843,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,4,1100,1960,53,"""Orle River Game Reserve"""
Pai River,7856,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,10,2486,1972,41,"""Pai River Game Reserve"""
Pandam,7855,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,15,224,1972,41,"""Pandam Game Reserve"""
Sambisa,7870,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,23,686,1978,35,"""Sambisa Game Reserve"""
Stubbs Creek,#N/A,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,100,NA,NA,"""Stubbs Creek Game Reserve"""
Taylor Creek,37001,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,"""Taylor Creek Game Reserve"""
Udi/Nsukka,7846,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,2,56,1981,32,"""Udi/Nsukka Game Reserve"""
Wase,7853,,Game Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,2,1865,1972,41,"""Wase Game Reserve"""
Chad Basin,7861,,National Park,1,NGA,Africa,17,0,0,0,0,0,0,0,0,2,49,2300,1991,22,"""Chad Basin National Park"""
Cross River,20299,,National Park,1,NGA,Africa,17,1,2,1,1,0,0,0,0,10,619,4000,1991,22,"""Cross River National Park"""
Gashaka-Gumti,7873,,National Park,1,NGA,Africa,17,1,1,1,0,0,0,0,0,8,269,6730,1991,22,"""Gashaka-Gumti National Park"""
Gujba,36431,,National Park,1,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,448,NA,NA,"""Gujba National Park"""
Kainji Lake,819,,National Park,1,NGA,Africa,17,0,0,0,0,0,0,0,0,2,269,5380,1979,34,"""Kainji Lake National Park"""
Kamuku,7874,,National Park,1,NGA,Africa,17,0,0,0,0,0,0,0,0,2,22,1211,1999,14,"""Kamuku National Park"""
Kogo,36378,,National Park,1,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,4055,NA,NA,"""Kogo National Park"""
Old Oyo,26625,,National Park,1,NGA,Africa,17,0,0,0,0,0,0,0,0,2,114,2530,1991,22,"""Old Oyo National Park"""
Yankari,1332,,National Park,1,NGA,Africa,17,0,0,0,0,0,0,0,0,2,136,2254,1999,14,"""Yankari National Park"""
Lekki,26627,,Nature Reserve,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,1,1,NA,NA,"""Lekki Nature Reserve"""
Dagona,26626,,Sanctuary,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,6,3,2008,5,"""Dagona Sanctuary"""
Damper Sanctuary,#N/A,,Sanctuary,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Damper Sanctuary Sanctuary"""
Akure,20301,,Strict Nature Reserv,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,0,NA,NA,"""Akure Strict Nature Reserve"""
Bam Ngelzarma,20306,,Strict Nature Reserv,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,1,NA,NA,"""Bam Ngelzarma Strict Nature Reserve"""
Bonu,36621,,Strict Nature Reserv,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Bonu Strict Nature Reserve"""
Milliken Hill,#N/A,,Strict Nature Reserv,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Milliken Hill Strict Nature Reserve"""
Urhonigbe,20302,,Strict Nature Reserv,2,NGA,Africa,17,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Urhonigbe Strict Nature Reserve"""
Cyamudongo,#N/A,,Forest Reserve,2,RWA,Africa,18,1,1,1,0,0,0,0,0,8,0,3,NA,NA,"""Cyamudongo Forest Reserve"""
Gisakura Gallery,#N/A,,Forest Reserve,2,RWA,Africa,18,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Gisakura Gallery Forest Reserve"""
Gishwati,21416,,Forest Reserve,2,RWA,Africa,18,0,0,0,0,0,0,0,0,2,36,6,1933,80,"""Gishwati Forest Reserve"""
Mukura,21417,,Forest Reserve,2,RWA,Africa,18,0,0,0,0,0,0,0,0,2,5,12,1933,80,"""Mukura Forest Reserve"""
Akagera,862,,National Park,1,RWA,Africa,18,0,0,0,0,0,0,0,0,2,392,900,1934,79,"""Akagera National Park"""
Nyungwe,9148,,National Park,1,RWA,Africa,18,1,1,1,0,0,0,0,0,8,165,1030,1933,80,"""Nyungwe National Park"""
Parc des Volcans,#N/A,,National Park,1,RWA,Africa,18,1,1,0,0,1,0,0,0,3,0,125,1983,30,"""Parc des Volcans National Park"""
Maka-Diama,#N/A,,Hunting Reserve,2,SEN,Africa,19,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Maka-Diama Hunting Reserve"""
Reserve des _l_phants du Fleuv,#N/A,,International Park,2,SEN,Africa,19,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Reserve des _l_phants du Fleuv International Park"""
Senegambien,#N/A,,International Park,2,SEN,Africa,19,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Senegambien International Park"""
Basse-Casamance,#N/A,,National Park,1,SEN,Africa,19,0,0,0,0,0,0,0,0,2,17,50,1970,43,"""Basse-Casamance National Park"""
Delta du Saloum,#N/A,,National Park,1,SEN,Africa,19,0,0,0,0,0,0,0,0,2,41,599,1976,37,"""Delta du Saloum National Park"""
Djoudj,68151,,National Park,1,SEN,Africa,19,0,0,0,0,0,0,0,0,2,166,160,1977,36,"""Djoudj National Park"""
Iles de la Madeleine,#N/A,,National Park,1,SEN,Africa,19,0,0,0,0,0,0,0,0,2,1,0,NA,NA,"""Iles de la Madeleine National Park"""
Langue de Barbarie,#N/A,,National Park,1,SEN,Africa,19,0,0,0,0,0,0,0,0,2,14,20,1976,37,"""Langue de Barbarie National Park"""
Niokolo-Koba,#N/A,,National Park,1,SEN,Africa,19,1,1,1,0,0,0,0,0,8,366,9130,1954,59,"""Niokolo-Koba National Park"""
Kassel Special Bird,#N/A,,Nature Reserve,2,SEN,Africa,19,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,"""Kassel Special Bird Nature Reserve"""
Kalissaye,#N/A,,Special Reserves,2,SEN,Africa,19,0,0,0,0,0,0,0,0,2,0,0,1978,35,"""Kalissaye Special Reserve"""
Ferlo-Nord,2333,,Wildlife Reserve,2,SEN,Africa,19,0,0,0,0,0,0,0,0,2,0,6000,1971,42,"""Ferlo-Nord Wildlife Reserve"""
